Filename	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\-60.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\-57.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\-54.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\-51.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\-48.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\-45.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\-42.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\-39.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\-36.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\-33.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\-30.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\-27.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\-24.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\-21.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\-18.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\-15.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\-12.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\-09.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\-06.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\-03.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\0.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\03.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\06.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\09.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\12.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\15.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\18.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\21.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\24.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\27.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\30.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\33.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\36.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\39.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\42.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\45.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\48.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\51.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\54.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\57.mcc	R:\KFI\02 KFM\01 - Uitvoering\05 - Meetdatabase\02 - Onderzoeksprojecten\01 - Archief\StarCheck\2010-10-07 Ionkamer Response\Leafs\60.mcc
-84	0.0300712734460831	0.029678525403142	0.0305218547582626	0.029959961771965	0.0301714483648539	0.0300839114934206	0.0305493678897619	0.0299868546426296	0.0306790173053741	0.0301419664174318	0.0304728150367737	0.029999103397131	0.0305732004344463	0.030684620141983	0.0311079546809196	0.0301514454185963	0.030475877225399	0.0306728277355433	0.030327096581459	0.0303000845015049	0.0304547026753426	0.0303419306874275	0.0306725148111582	0.0301261302083731	0.0301521364599466	0.0303859561681747	0.0305583383888006	0.0307642836123705	0.0308121368288994	0.0296778827905655	0.0303976759314537	0.030453234910965	0.0297872982919216	0.0300122871994972	0.0299586039036512	0.0295731481164694	0.0297250859439373	0.030176991596818	0.029565567150712	0.0296516828238964	0.0300411824136972
-81	0.0322769917547703	0.0323278866708279	0.032652847468853	0.0328522771596909	0.0326394811272621	0.0323294922709465	0.0322385840117931	0.032496340572834	0.0329498760402203	0.0324951000511646	0.0330103486776352	0.0323683172464371	0.0329317674040794	0.0328934602439404	0.0324282310903072	0.0335869863629341	0.032409593462944	0.0328293479979038	0.0326333753764629	0.0324168279767036	0.0330927819013596	0.0329736694693565	0.0330015420913696	0.0327011793851852	0.0326508656144142	0.032739669084549	0.0321817770600319	0.0324259661138058	0.0324181653559208	0.0330111160874367	0.0327124632894993	0.0319774635136127	0.0325479321181774	0.0325266718864441	0.0327093824744225	0.032336100935936	0.0325743332505226	0.0327174253761768	0.0318384654819965	0.0325856618583202	0.0318944156169891
-78	0.035747617483139	0.0355008579790592	0.0357896462082863	0.0370069928467274	0.0358088240027428	0.0359248071908951	0.0355631969869137	0.0363023914396763	0.0354672446846962	0.0350845977663994	0.0360413305461407	0.0355277694761753	0.0360107608139515	0.0361469388008118	0.0356668643653393	0.0356246903538704	0.0360796228051186	0.0359071008861065	0.0358041301369667	0.035917304456234	0.0360677354037762	0.0361404195427895	0.035276684910059	0.0359233617782593	0.0359057895839214	0.035651158541441	0.0357739739120007	0.0356909967958927	0.0360384620726109	0.0353911444544792	0.0359645448625088	0.035922534763813	0.0350149795413017	0.0351339615881443	0.035515658557415	0.0357225090265274	0.0349140875041485	0.0348404385149479	0.0356544852256775	0.0350196994841099	0.0350234247744083
-75	0.0400555171072483	0.0406712926924229	0.0405560284852982	0.0398709215223789	0.0410761460661888	0.0403502732515335	0.0402735620737076	0.0401965752243996	0.0402928218245506	0.0400317125022411	0.0404375270009041	0.0399480164051056	0.0405455492436886	0.0404032096266747	0.0401973687112331	0.0404715277254581	0.0400801599025726	0.0405461601912975	0.0404077097773552	0.0405397303402424	0.0403662174940109	0.0406372360885143	0.0401876978576183	0.0401926413178444	0.0400185324251652	0.03989502415061	0.040297482162714	0.0400867499411106	0.0399054922163486	0.0404739156365395	0.0408606342971325	0.0395851694047451	0.0401992201805115	0.0404249578714371	0.0398458130657673	0.0399297289550304	0.0398012846708298	0.0400095768272877	0.0398674756288528	0.0393370948731899	0.0396982915699482
-72	0.0444774553179741	0.044029239565134	0.0442479588091373	0.0450579673051834	0.0451184026896954	0.0441620871424675	0.0445534028112888	0.0441893450915813	0.0446926131844521	0.0443984009325504	0.0442998968064785	0.044229332357645	0.0447814054787159	0.0448582470417023	0.0445723682641983	0.0449281632900238	0.0442900732159615	0.0447231084108353	0.0450576581060886	0.0448420308530331	0.0445374362170696	0.0445362702012062	0.0445044822990894	0.0444963760674	0.0446707718074322	0.0447101220488548	0.0443306677043438	0.0442895591259003	0.0444633848965168	0.0440969951450825	0.0445139855146408	0.0450888387858868	0.0439739376306534	0.0438923537731171	0.044036477804184	0.0443671979010105	0.0441909469664097	0.043811246752739	0.0437969155609608	0.044226061552763	0.043601717799902
-69	0.050890538841486	0.0511195659637451	0.0510468445718288	0.0510039441287518	0.0510840527713299	0.0514856055378914	0.050864789634943	0.0506408140063286	0.0510674528777599	0.051409937441349	0.0508702658116817	0.0508201122283936	0.0512338392436504	0.0514100417494774	0.0507117211818695	0.0514210127294064	0.0509302169084549	0.0507814027369022	0.0513393469154835	0.0514645166695118	0.0510697551071644	0.0507741272449493	0.0508314743638039	0.051214873790741	0.0509415082633495	0.0511447079479694	0.0506510213017464	0.0508884228765965	0.0509547963738441	0.0511130690574646	0.0510256327688694	0.0505880229175091	0.051405031234026	0.0506338402628899	0.0504514649510384	0.0505359955132008	0.0505094863474369	0.0506964512169361	0.0503290705382824	0.050373088568449	0.0495762340724468
-66	0.0584695041179657	0.0585917793214321	0.0582695379853249	0.0585320293903351	0.0589716024696827	0.0587508976459503	0.0594080276787281	0.0583634562790394	0.0584059171378613	0.0591499991714954	0.0585142634809017	0.0589674636721611	0.0590733140707016	0.0589975044131279	0.0587215907871723	0.0590231567621231	0.0591421648859978	0.0588197484612465	0.0586664862930775	0.0588813424110413	0.059356801211834	0.0588008500635624	0.0586926899850369	0.0586988441646099	0.0586110539734364	0.0582955740392208	0.0587278567254543	0.0584145970642567	0.058187909424305	0.0586087368428707	0.0579789765179157	0.058641042560339	0.0582339726388454	0.0589531883597374	0.0584023259580135	0.0581879355013371	0.0584715381264687	0.0584344454109669	0.0582371987402439	0.0575662590563297	0.0579829290509224
-63	0.0675054416060448	0.0676124393939972	0.067083016037941	0.0676945149898529	0.0678290575742722	0.067654088139534	0.0675327032804489	0.0685447975993156	0.0673294961452484	0.0681212320923805	0.0672976821660995	0.0674240365624428	0.0679246708750725	0.0679240226745605	0.0672831907868385	0.067848227918148	0.0680824369192123	0.0676222965121269	0.0678198039531708	0.0672136768698692	0.0680945068597794	0.0679588690400124	0.0679115056991577	0.0674171596765518	0.0673924759030342	0.0674188360571861	0.067263625562191	0.0673945546150208	0.0676655769348145	0.0672488510608673	0.0675106272101402	0.0673022642731667	0.0672333762049675	0.0672440677881241	0.0676715895533562	0.0671824738383293	0.0665262192487717	0.0666123107075691	0.0671243295073509	0.0667457580566406	0.066394105553627
-60	0.0820781737565994	0.0818632021546364	0.082456611096859	0.0819245278835297	0.0816061571240425	0.0822115391492844	0.0824202075600624	0.0821781754493713	0.0828370824456215	0.0819453373551369	0.0818559750914574	0.08229810744524	0.082400418817997	0.0824667885899544	0.0819333121180534	0.0821525231003761	0.0827565565705299	0.0824936032295227	0.0823020860552788	0.0818289220333099	0.082020029425621	0.0830872431397438	0.0822089836001396	0.0822457894682884	0.0823564603924751	0.0819463729858398	0.0817161202430725	0.0819593146443367	0.0820809602737427	0.0820205584168434	0.0814532563090324	0.081830270588398	0.0814364925026894	0.0813593864440918	0.0815169811248779	0.0815549045801163	0.0817197039723396	0.0818040370941162	0.0813243389129639	0.0811604559421539	0.0812587663531303
-57	0.108656316995621	0.108825244009495	0.108286701142788	0.108862198889256	0.109051436185837	0.108328357338905	0.108739070594311	0.108609922230244	0.108781650662422	0.108833603560925	0.108412586152554	0.108971945941448	0.108667515218258	0.108896628022194	0.108311899006367	0.108538024127483	0.108337573707104	0.108718797564507	0.108776420354843	0.108435556292534	0.108313992619514	0.108374930918217	0.108690448105335	0.108330339193344	0.10818662494421	0.108167722821236	0.108559682965279	0.107630871236324	0.10759648680687	0.10795733332634	0.108199074864388	0.107822887599468	0.107850506901741	0.108076602220535	0.107998862862587	0.107995815575123	0.107722997665405	0.107851706445217	0.107266403734684	0.107460305094719	0.10719358921051
-54	0.171985894441605	0.1711046397686	0.171837463974953	0.171477228403091	0.171762391924858	0.171061277389526	0.17120860517025	0.171122997999191	0.171330392360687	0.170807957649231	0.171855375170708	0.171327412128448	0.171153128147125	0.171416610479355	0.170693784952164	0.170551210641861	0.170938894152641	0.171325162053108	0.170832023024559	0.171029806137085	0.170891284942627	0.170308157801628	0.170740470290184	0.171310439705849	0.169800043106079	0.170053690671921	0.169878169894218	0.170370921492577	0.170756503939629	0.170083075761795	0.169656231999397	0.169891953468323	0.169787302613258	0.168949291110039	0.169246464967728	0.169798910617828	0.169475570321083	0.169676393270493	0.168892800807953	0.168487340211868	0.168477132916451
-51	0.441323429346085	0.439740419387817	0.439271152019501	0.438896864652634	0.437426328659058	0.437694102525711	0.43829882144928	0.437173247337341	0.437110632658005	0.437790781259537	0.437316834926605	0.437707275152206	0.436977803707123	0.436791062355042	0.436169266700745	0.435706913471222	0.435198754072189	0.435042709112167	0.435904324054718	0.435630083084106	0.436226427555084	0.435125678777695	0.435106039047241	0.434837311506271	0.434169232845306	0.433164358139038	0.433709532022476	0.432784914970398	0.431908249855042	0.432080328464508	0.431993782520294	0.430968791246414	0.430901736021042	0.430727034807205	0.43121549487114	0.430888831615448	0.430240541696548	0.430003434419632	0.42919397354126	0.428754776716232	0.428392380475998
-48	0.829874694347382	0.83002907037735	0.831042647361755	0.830464899539948	0.830013275146484	0.830536305904388	0.831093490123749	0.830012261867523	0.830238282680511	0.830822646617889	0.830477297306061	0.830644428730011	0.830760061740875	0.831019401550293	0.830173432826996	0.830495297908783	0.830616474151611	0.829990863800049	0.831172108650208	0.8307204246521	0.831414401531219	0.830648303031921	0.830082774162292	0.830651938915253	0.830259740352631	0.830828607082367	0.829718232154846	0.828911185264587	0.829707086086273	0.82914000749588	0.829026162624359	0.828912556171417	0.828714787960052	0.827094793319702	0.828803718090057	0.828092992305756	0.827909767627716	0.828438460826874	0.82842093706131	0.827960848808289	0.826956927776337
-45	0.920804262161255	0.922667264938354	0.922281444072723	0.921686410903931	0.921766102313995	0.921165764331818	0.922236323356628	0.921608448028564	0.921969056129456	0.922898530960083	0.922722637653351	0.922873556613922	0.922143340110779	0.923856377601624	0.922293663024902	0.922752618789673	0.922785878181458	0.922457993030548	0.92315399646759	0.923333525657654	0.923896908760071	0.923035562038422	0.922824740409851	0.923931956291199	0.923259735107422	0.923018276691437	0.923671424388885	0.922734081745148	0.923137903213501	0.923310220241547	0.924013316631317	0.92212975025177	0.923786699771881	0.922545552253723	0.923251152038574	0.922762930393219	0.922306895256042	0.922634959220886	0.922291696071625	0.921472072601318	0.921722531318665
-42	0.949373543262482	0.949190735816956	0.950426042079926	0.950475096702576	0.949848532676697	0.950698733329773	0.950519442558289	0.950826048851013	0.951042056083679	0.951590955257416	0.951447427272797	0.951495349407196	0.950855672359467	0.952027261257172	0.951869010925293	0.951726019382477	0.951888859272003	0.951440930366516	0.952498495578766	0.952279806137085	0.952763080596924	0.952102720737457	0.952596187591553	0.952873170375824	0.952610790729523	0.952865898609161	0.952253520488739	0.952408015727997	0.952835977077484	0.952653467655182	0.95193749666214	0.952420115470886	0.952726185321808	0.951600313186646	0.952453792095184	0.952709853649139	0.951740622520447	0.952422976493835	0.951676666736603	0.951498329639435	0.951177299022675
-39	0.967874586582184	0.96922504901886	0.969333410263062	0.968686521053314	0.968411028385162	0.969556272029877	0.969579219818115	0.969273746013641	0.969328463077545	0.969317972660065	0.969839692115784	0.970048725605011	0.969523966312408	0.970424294471741	0.969721913337708	0.971131265163422	0.971181154251099	0.971032023429871	0.971522986888885	0.970919072628021	0.971672832965851	0.970708668231964	0.971440970897675	0.97167295217514	0.971530616283417	0.971782326698303	0.970939517021179	0.970864474773407	0.971513152122498	0.971627950668335	0.971791326999664	0.970636129379272	0.971734583377838	0.970645546913147	0.971562266349792	0.971279084682465	0.970551311969757	0.971857726573944	0.970421016216278	0.970451295375824	0.969590246677399
-36	0.976832449436188	0.976847887039185	0.977526068687439	0.978501856327057	0.978020489215851	0.978365361690521	0.978817522525787	0.977967321872711	0.978187799453735	0.978473246097565	0.979005932807922	0.979161083698273	0.97865629196167	0.979391157627106	0.978842675685883	0.979488432407379	0.980558156967163	0.980304181575775	0.980242609977722	0.980119049549103	0.980700969696045	0.979525983333588	0.979897916316986	0.980900585651398	0.980392754077911	0.980096578598022	0.979953646659851	0.980077803134918	0.98006671667099	0.980144023895264	0.980640232563019	0.980095326900482	0.980722010135651	0.979756057262421	0.980486571788788	0.980159997940063	0.979232013225555	0.979936838150024	0.979196190834045	0.978151857852936	0.978886246681213
-33	0.977522671222687	0.978280007839203	0.978615462779999	0.978531718254089	0.978587508201599	0.978559494018555	0.979116499423981	0.978669404983521	0.979203701019287	0.979206264019012	0.978721797466278	0.979668974876404	0.979029953479767	0.979884326457977	0.979351103305817	0.980116307735443	0.980662822723389	0.981321156024933	0.980212688446045	0.980642676353455	0.980820775032043	0.980512320995331	0.980242192745209	0.9811851978302	0.980870962142944	0.980709731578827	0.98035728931427	0.980586290359497	0.980993807315826	0.981369137763977	0.981194198131561	0.980498790740967	0.981545865535736	0.98032546043396	0.981176495552063	0.980787932872772	0.980427324771881	0.980939269065857	0.980091631412506	0.979733765125275	0.979736804962158
-30	0.98016357421875	0.980010449886322	0.980689764022827	0.98042905330658	0.980661630630493	0.981471002101898	0.981657803058624	0.981313288211823	0.981892883777618	0.981659591197968	0.98163765668869	0.982432544231415	0.981630682945251	0.983037650585175	0.982491016387939	0.982807338237762	0.98335474729538	0.982891440391541	0.983159065246582	0.983499884605408	0.983890056610107	0.983321905136108	0.983340561389923	0.983477115631104	0.983725368976593	0.983894824981689	0.983780562877655	0.983577609062195	0.983655571937561	0.98305743932724	0.984113931655884	0.983771443367004	0.984451770782471	0.983262419700623	0.983786284923553	0.984032273292542	0.983161509037018	0.983707129955292	0.983016729354858	0.982643842697144	0.982288360595703
-27	0.9840047955513	0.984813928604126	0.984912931919098	0.984896004199982	0.984660625457764	0.985950171947479	0.985260486602783	0.985495746135712	0.98555314540863	0.986401796340942	0.985630095005035	0.986286640167236	0.985531747341156	0.986983120441437	0.986498177051544	0.986963450908661	0.987587094306946	0.986749827861786	0.986599087715149	0.987703442573547	0.988007366657257	0.986863732337952	0.987666308879852	0.988315641880035	0.988089203834534	0.988051950931549	0.987457931041718	0.988094508647919	0.987797737121582	0.988406121730804	0.988201498985291	0.987148642539978	0.989349901676178	0.987083435058594	0.987925946712494	0.987844824790955	0.987046182155609	0.987791538238525	0.987672924995422	0.98612105846405	0.986869215965271
-24	0.98741090297699	0.987543821334839	0.988628745079041	0.988780319690704	0.988286554813385	0.989010989665985	0.9895059466362	0.988707304000854	0.988959431648254	0.989782631397247	0.98957771062851	0.98994654417038	0.989193618297577	0.990256011486053	0.989892363548279	0.990536570549011	0.990922152996063	0.990279197692871	0.990457832813263	0.990710258483887	0.992274403572083	0.990674614906311	0.990959286689758	0.992150545120239	0.991660952568054	0.992059588432312	0.991553902626038	0.990801692008972	0.991640865802765	0.991424143314362	0.991660177707672	0.991825938224792	0.992315769195557	0.991683661937714	0.991990625858307	0.991612493991852	0.991035401821136	0.991382300853729	0.990493535995483	0.989717662334442	0.99022650718689
-21	0.986765682697296	0.98784214258194	0.987419962882996	0.987346112728119	0.987406194210052	0.987950921058655	0.988384783267975	0.988737165927887	0.988212466239929	0.989274024963379	0.988934755325317	0.9893639087677	0.98847621679306	0.989867448806763	0.989608228206635	0.990088045597076	0.990054726600647	0.989785671234131	0.990622341632843	0.990351259708405	0.990986824035645	0.990480303764343	0.990315675735474	0.991086959838867	0.991167783737183	0.991207242012024	0.991105437278748	0.991026043891907	0.992029666900635	0.991483867168427	0.991630256175995	0.990794837474823	0.991521894931793	0.991279065608978	0.992425620555878	0.99113404750824	0.990676820278168	0.991053104400635	0.990941226482391	0.990299642086029	0.990271270275116
-18	0.994808316230774	0.994749009609222	0.995746970176697	0.996369659900665	0.996075630187988	0.996730148792267	0.996711254119873	0.996400058269501	0.99769926071167	0.99738210439682	0.997398197650909	0.997804045677185	0.997354447841644	0.998565316200256	0.998011350631714	0.998759150505066	0.999042868614197	0.998280167579651	0.999506413936615	0.998952865600586	1.00001502037048	1.00004482269287	0.999131858348846	0.999910116195679	1.00002992153168	1.00038874149323	0.999596357345581	1.00010466575623	0.999715864658356	1.00014936923981	1.0007336139679	1.00020921230316	1.00128817558289	0.999595403671265	1.00089991092682	1.0012708902359	0.999760925769806	1.00092756748199	0.999597072601318	0.999253809452057	0.998955488204956
-15	0.994958341121674	0.995480000972748	0.99570220708847	0.99556291103363	0.995881617069244	0.99716317653656	0.997234463691711	0.996863126754761	0.997490108013153	0.998399317264557	0.998041152954102	0.998341858386993	0.997638463973999	0.99898374080658	0.998923420906067	0.999147832393646	0.999536395072937	0.999745786190033	0.999865412712097	1.00041890144348	1.00065875053406	1.00008964538574	1.00154173374176	1.00122833251953	1.000896692276	1.00106167793274	1.00147998332977	1.00043368339539	1.00161504745483	1.00100100040436	1.00119781494141	1.00089657306671	1.00142300128937	1.00074923038483	1.00140988826752	1.00158476829529	1.00032866001129	1.00112211704254	1.00020897388458	0.999746322631836	0.999806046485901
-12	0.995258450508118	0.995002627372742	0.995582818984985	0.996160507202148	0.995433986186981	0.996252417564392	0.996920526027679	0.996549487113953	0.997056841850281	0.997232496738434	0.998071074485779	0.997774183750153	0.996816396713257	0.998311221599579	0.998071193695068	0.998460114002228	0.998579263687134	0.999057829380035	0.998653948307037	0.999655961990356	0.999520897865295	0.998819351196289	0.999326467514038	1.00058424472809	0.999701082706451	0.999596238136292	0.999745845794678	0.999491453170776	0.999685943126678	0.999790847301483	1.00013470649719	0.999596536159515	1.0008088350296	0.9993856549263	1.00012004375458	1.000568151474	0.999686241149902	1.0006582736969	0.999895513057709	0.999209046363831	0.998865962028503
-9	1.00055515766144	1.00016415119171	1.00064170360565	1.00061249732971	1.00047743320465	1.00065696239471	1.00118100643158	1.00097095966339	1.00124001502991	1.00186991691589	1.00189900398254	1.00283825397491	1.00137507915497	1.00212216377258	1.00192880630493	1.00251162052155	1.00245261192322	1.00291621685028	1.00237810611725	1.00248324871063	1.00303936004639	1.00231635570526	1.00237989425659	1.00374495983124	1.00373613834381	1.00318515300751	1.00288510322571	1.00272214412689	1.00336456298828	1.00301802158356	1.00347363948822	1.00325763225555	1.00423908233643	1.00304186344147	1.00460457801819	1.00418627262115	1.00309276580811	1.00402462482452	1.00382053852081	1.003298163414	1.00322306156158
-6	1.00015008449554	0.999955236911774	1.00079095363617	1.00037348270416	1.00032830238342	1.00061213970184	1.00029897689819	0.999746084213257	1.00055277347565	1.000807762146	1.00106167793274	1.00086641311646	1.00088179111481	1.00097143650055	1.00091207027435	1.00107645988464	1.00136089324951	1.00119638442993	1.00086748600006	1.000403881073	1.00163197517395	1.00064265727997	1.00080823898315	1.00154292583466	1.00159907341003	1.0024973154068	1.00131547451019	1.00098717212677	1.00134587287903	1.0017032623291	1.0022908449173	1.00101613998413	1.00250148773193	1.00098896026611	1.00161981582642	1.00222766399384	1.00122511386871	1.00212454795837	1.00158190727234	1.00156700611115	1.00089526176453
0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
6	1.0026558637619	1.00443053245544	1.00313377380371	1.0037647485733	1.00331258773804	1.0042552947998	1.00449955463409	1.00351023674011	1.00409352779388	1.00447285175323	1.00423169136047	1.00464582443237	1.00419998168945	1.00563418865204	1.00468003749847	1.00475418567657	1.00499510765076	1.0045462846756	1.00520479679108	1.00490665435791	1.00571930408478	1.00466275215149	1.00517892837524	1.0056174993515	1.00540995597839	1.00520384311676	1.00568056106567	1.0052946805954	1.00502443313599	1.00512456893921	1.00510573387146	1.00472211837769	1.00567710399628	1.00486993789673	1.00595450401306	1.00544214248657	1.00470638275146	1.00547587871552	1.00534272193909	1.00425326824188	1.00493896007538
9	1.00064516067505	1.00064146518707	1.00247716903687	1.00137448310852	1.00086545944214	1.00183653831482	1.00239181518555	1.00197172164917	1.00240528583527	1.00260293483734	1.00272142887115	1.00294280052185	1.00261569023132	1.00330281257629	1.00387263298035	1.00367772579193	1.00394821166992	1.00334990024567	1.0039484500885	1.00391936302185	1.00458145141602	1.0036016702652	1.00363719463348	1.00446403026581	1.00409483909607	1.00399267673492	1.00439488887787	1.00385880470276	1.00469541549683	1.00409376621246	1.00461161136627	1.00391519069672	1.00462853908539	1.0035662651062	1.00436460971832	1.00439560413361	1.00366055965424	1.00402462482452	1.00350713729858	1.00332796573639	1.00292456150055
12	0.995993673801422	0.996166169643402	0.996597588062286	0.9971764087677	0.996776938438416	0.997730553150177	0.99763810634613	0.997938632965088	0.998057842254639	0.998354434967041	0.998325288295746	0.998804926872253	0.998624920845032	0.999387264251709	0.998953342437744	1.00025415420532	0.999760687351227	0.99967098236084	1.00017952919006	1.00073301792145	1.00098812580109	1.00001490116119	1.00023949146271	1.00106358528137	1.00100123882294	1.00037384033203	1.00007474422455	1.0005384683609	1.00104677677155	1.00118029117584	1.0007187128067	1	1.00113844871521	1.00058436393738	1.00110995769501	1.00068771839142	0.999985039234161	1.00079298019409	0.999910473823547	0.99914938211441	0.999074876308441
